proveedor,archivo,rut_empresa,numero_cuenta,numero_boleta,fecha_emision,periodo_facturado,consumo_total_m3,iva,total_a_pagar,vencimiento,estado,monto_periodo,consumo_total,fecha_vencimiento
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202408.pdf,61.808.000-5,2392231-2,267556071,02-AGO-2024,02-08-2024,3.41,41.0,49.0,21-AGO-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202409.pdf,61.808.000-5,2392231-2,269530145,02-SEP-2024,02-09-2024,2.25,30.0,35.0,21-SEP-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202410.pdf,61.808.000-5,2392231-2,271478704,02-OCT-2024,02-10-2024,3.42,43.0,51.0,22-OCT-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202411.pdf,61.808.000-5,2392231-2,273547651,02-NOV-2024,02-11-2024,3.32,42.0,50.0,21-NOV-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202412.pdf,61.808.000-5,2392231-2,275495050,02-DIC-2024,02-12-2024,4.56,55.0,65.0,21-DIC-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202501.pdf,61.808.000-5,2392231-2,277479690,02-ENE-2025,02-01-2025,4.1,50.0,59.0,22-ENE-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202502.pdf,61.808.000-5,2392231-2,279468204,02-FEB-2025,01-02-2025,9.04,10.0,12.0,20-FEB-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202503.pdf,61.808.000-5,2392231-2,281392371,03-MAR-2025,03-03-2025,8.3,94.0,11.0,21-MAR-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202504.pdf,61.808.000-5,2392231-2,283385928,02-ABR-2025,02-04-2025,10.07,11.0,13.0,22-ABR-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202505.pdf,61.808.000-5,2392231-2,285459946,02-MAY-2025,02-05-2025,5.77,67.0,80.0,22-MAY-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202506.pdf,61.808.000-5,2392231-2,287463739,02-JUN-2025,02-06-2025,2.17,30.0,35.0,21-JUN-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202507.pdf,61.808.000-5,2392231-2,289466653,02-JUL-2025,02-07-2025,2.16,30.0,36.0,22-JUL-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202508.pdf,61.808.000-5,2392231-2,291445817,02-AGO-2025,02-08-2025,2.18,31.0,37.0,21-AGO-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202008.pdf,61.808.000-5,,,,,,,,24-AGO-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202009.pdf,61.808.000-5,,,,,,,,24-SEP-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202010.pdf,61.808.000-5,,,,,,,,26-OCT-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202011.pdf,61.808.000-5,,,,,,,,24-NOV-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202012.pdf,61.808.000-5,,,,,,,,24-DIC-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202101.pdf,61.808.000-5,,,,,,,,25-ENE-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202102.pdf,61.808.000-5,,,,,,,,23-FEB-2021,ERROR: Datos incompletos,,,
