archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202203.pdf,Aguas Andinas,,,,,23-MAR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202204.pdf,Aguas Andinas,,,,,25-ABR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202205.pdf,Aguas Andinas,,,,,25-MAY-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202206.pdf,Aguas Andinas,,,,,23-JUN-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202207.pdf,Aguas Andinas,,,,,25-JUL-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202208.pdf,Aguas Andinas,,,,,25-AGO-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202209.pdf,Aguas Andinas,,,2392496-K,03-SEP-2022,26-SEP-2022,113 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202210.pdf,Aguas Andinas,,,2392496-K,03-OCT-2022,24-OCT-2022,226 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202211.pdf,Aguas Andinas,,,2392496-K,03-NOV-2022,24-NOV-2022,1908 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202212.pdf,Aguas Andinas,,,2392496-K,02-DIC-2022,26-DIC-2022,35 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202301.pdf,Aguas Andinas,,,2392496-K,02-ENE-2023,25-ENE-2023,209 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202302.pdf,Aguas Andinas,,,2392496-K,02-FEB-2023,22-FEB-2023,114 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202303.pdf,Aguas Andinas,,,2392496-K,03-MAR-2023,27-MAR-2023,335 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202304.pdf,Aguas Andinas,,,2392496-K,02-ABR-2023,24-ABR-2023,219 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202305.pdf,Aguas Andinas,,,2392496-K,03-MAY-2023,25-MAY-2023,221 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202306.pdf,Aguas Andinas,,,2392496-K,02-JUN-2023,23-JUN-2023,107 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202307.pdf,Aguas Andinas,,,2392496-K,03-JUL-2023,25-JUL-2023,217 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202308.pdf,Aguas Andinas,,,2392496-K,02-AGO-2023,24-AGO-2023,11 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202309.pdf,Aguas Andinas,,,2392496-K,02-SEP-2023,25-SEP-2023,104 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202310.pdf,Aguas Andinas,,,2392496-K,03-OCT-2023,24-OCT-2023,335 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202311.pdf,Aguas Andinas,,,2392496-K,03-NOV-2023,24-NOV-2023,11 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202312.pdf,Aguas Andinas,,,1896693-K,02-DIC-2023,22-DIC-2023,0 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202401.pdf,Aguas Andinas,,,2392496-K,02-ENE-2024,23-ENE-2024,206 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202402.pdf,Aguas Andinas,,,2392496-K,02-FEB-2024,22-FEB-2024,231 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202403.pdf,Aguas Andinas,,,1896693-K,02-MAR-2024,21-MAR-2024,0 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202404.pdf,Aguas Andinas,,,2392496-K,02-ABR-2024,20-ABR-2024,109 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202405.pdf,Aguas Andinas,,,2392496-K,02-MAY-2024,22-MAY-2024,473 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202406.pdf,Aguas Andinas,,,2392496-K,02-JUN-2024,21-JUN-2024,231 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202407.pdf,Aguas Andinas,,,2392496-K,02-JUL-2024,22-JUL-2024,232 m3,PARCIAL
